IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.240.19,4,3,0.25,188.48,0.00,N/A
162.159.244.218,4,3,0.25,188.49,0.00,N/A
104.16.127.15,4,3,0.25,188.58,0.00,N/A
198.41.197.232,4,3,0.25,188.93,0.00,N/A
104.24.36.84,4,3,0.25,189.03,0.00,N/A
104.17.197.67,4,3,0.25,189.06,0.00,N/A
104.17.92.40,4,3,0.25,189.10,0.00,N/A
104.24.43.13,4,3,0.25,189.27,0.00,N/A
162.159.207.212,4,3,0.25,189.31,0.00,N/A
104.17.160.28,4,3,0.25,189.31,0.00,N/A
104.16.66.122,4,3,0.25,189.32,0.00,N/A
104.24.38.10,4,3,0.25,189.33,0.00,N/A
104.16.211.200,4,3,0.25,189.37,0.00,N/A
104.19.248.214,4,3,0.25,189.40,0.00,N/A
104.24.87.253,4,3,0.25,189.42,0.00,N/A
104.17.254.204,4,3,0.25,189.71,0.00,N/A
104.25.20.147,4,3,0.25,189.73,0.00,N/A
162.159.90.150,4,3,0.25,189.74,0.00,N/A
104.17.162.78,4,3,0.25,189.74,0.00,N/A
104.16.179.29,4,3,0.25,189.90,0.00,N/A
104.17.147.96,4,3,0.25,190.16,0.00,N/A
104.17.104.156,4,3,0.25,190.33,0.00,N/A
162.159.42.111,4,3,0.25,190.35,0.00,N/A
104.16.139.84,4,3,0.25,190.36,0.00,N/A
104.19.33.110,4,3,0.25,190.40,0.00,N/A
104.16.237.187,4,3,0.25,190.40,0.00,N/A
104.18.145.233,4,3,0.25,190.48,0.00,N/A
104.16.32.156,4,3,0.25,190.48,0.00,N/A
104.16.195.21,4,3,0.25,190.48,0.00,N/A
104.27.90.117,4,3,0.25,190.52,0.00,N/A
104.17.87.72,4,3,0.25,190.62,0.00,N/A
162.159.43.239,4,3,0.25,190.66,0.00,N/A
104.25.216.220,4,3,0.25,190.68,0.00,N/A
162.159.10.6,4,3,0.25,190.68,0.00,N/A
104.20.40.44,4,3,0.25,190.69,0.00,N/A
104.16.234.13,4,3,0.25,190.93,0.00,N/A
198.41.217.116,4,3,0.25,190.97,0.00,N/A
162.159.254.120,4,3,0.25,191.08,0.00,N/A
104.19.225.166,4,3,0.25,191.10,0.00,N/A
104.16.243.217,4,3,0.25,191.12,0.00,N/A
104.16.39.137,4,3,0.25,191.13,0.00,N/A
162.159.18.39,4,3,0.25,191.25,0.00,N/A
104.17.191.182,4,3,0.25,191.34,0.00,N/A
104.16.92.212,4,3,0.25,191.46,0.00,N/A
104.17.196.238,4,3,0.25,191.47,0.00,N/A
104.16.216.218,4,3,0.25,191.54,0.00,N/A
104.16.248.15,4,3,0.25,191.56,0.00,N/A
104.19.26.167,4,3,0.25,191.58,0.00,N/A
104.16.52.24,4,3,0.25,191.63,0.00,N/A
172.66.1.27,4,3,0.25,191.71,0.00,N/A
162.159.6.114,4,3,0.25,191.72,0.00,N/A
104.19.198.202,4,3,0.25,191.82,0.00,N/A
104.17.153.173,4,3,0.25,191.87,0.00,N/A
104.16.170.242,4,3,0.25,191.93,0.00,N/A
104.24.29.71,4,3,0.25,191.99,0.00,N/A
104.24.208.2,4,3,0.25,192.25,0.00,N/A
104.16.224.107,4,3,0.25,192.44,0.00,N/A
104.16.24.48,4,3,0.25,192.53,0.00,N/A
104.19.14.245,4,3,0.25,192.66,0.00,N/A
104.16.156.221,4,3,0.25,192.68,0.00,N/A
104.17.144.168,4,3,0.25,192.69,0.00,N/A
104.17.209.72,4,3,0.25,192.82,0.00,N/A
104.18.250.68,4,3,0.25,192.83,0.00,N/A
104.24.193.58,4,3,0.25,192.89,0.00,N/A
104.24.153.124,4,3,0.25,192.91,0.00,N/A
162.159.49.26,4,3,0.25,192.96,0.00,N/A
104.16.75.48,4,3,0.25,192.98,0.00,N/A
104.24.42.209,4,3,0.25,193.16,0.00,N/A
104.19.200.221,4,3,0.25,193.18,0.00,N/A
162.159.27.56,4,3,0.25,193.26,0.00,N/A
104.16.225.139,4,3,0.25,193.36,0.00,N/A
104.16.159.33,4,3,0.25,193.38,0.00,N/A
104.18.89.95,4,3,0.25,193.41,0.00,N/A
104.25.23.19,4,3,0.25,193.42,0.00,N/A
104.27.63.27,4,3,0.25,193.58,0.00,N/A
104.18.97.192,4,3,0.25,193.64,0.00,N/A
104.16.153.183,4,3,0.25,193.68,0.00,N/A
104.16.242.218,4,3,0.25,193.71,0.00,N/A
104.17.49.176,4,3,0.25,193.77,0.00,N/A
172.65.196.22,4,3,0.25,193.85,0.00,N/A
172.64.230.2,4,3,0.25,193.88,0.00,N/A
104.16.250.33,4,3,0.25,193.93,0.00,N/A
104.19.202.81,4,3,0.25,194.04,0.00,N/A
104.17.110.222,4,3,0.25,194.15,0.00,N/A
104.16.147.65,4,3,0.25,194.27,0.00,N/A
104.16.167.135,4,3,0.25,194.33,0.00,N/A
190.93.246.169,4,3,0.25,194.34,0.00,N/A
104.19.13.67,4,3,0.25,194.41,0.00,N/A
162.159.39.253,4,3,0.25,194.43,0.00,N/A
104.16.222.18,4,3,0.25,194.63,0.00,N/A
104.16.245.69,4,3,0.25,194.63,0.00,N/A
104.16.98.21,4,3,0.25,194.63,0.00,N/A
104.17.180.63,4,3,0.25,194.66,0.00,N/A
104.25.214.210,4,3,0.25,194.77,0.00,N/A
104.24.217.216,4,3,0.25,194.81,0.00,N/A
104.19.137.183,4,3,0.25,194.94,0.00,N/A
172.67.97.193,4,3,0.25,194.95,0.00,N/A
162.159.12.101,4,3,0.25,195.16,0.00,N/A
104.16.79.66,4,3,0.25,195.19,0.00,N/A
104.16.69.144,4,3,0.25,195.20,0.00,N/A
104.16.236.238,4,3,0.25,195.33,0.00,N/A
104.16.252.95,4,3,0.25,195.44,0.00,N/A
104.18.1.254,4,3,0.25,195.54,0.00,N/A
162.159.248.132,4,3,0.25,195.62,0.00,N/A
104.25.112.237,4,3,0.25,195.66,0.00,N/A
104.19.35.113,4,3,0.25,195.75,0.00,N/A
104.24.10.191,4,3,0.25,195.76,0.00,N/A
104.16.187.204,4,3,0.25,195.77,0.00,N/A
104.25.253.112,4,3,0.25,195.78,0.00,N/A
104.19.171.138,4,3,0.25,195.85,0.00,N/A
104.17.168.123,4,3,0.25,195.92,0.00,N/A
104.16.141.135,4,3,0.25,195.96,0.00,N/A
104.17.83.13,4,3,0.25,196.05,0.00,N/A
104.17.188.248,4,3,0.25,196.15,0.00,N/A
104.25.59.99,4,3,0.25,196.26,0.00,N/A
104.17.9.5,4,3,0.25,196.27,0.00,N/A
104.19.152.158,4,3,0.25,196.30,0.00,N/A
104.19.242.113,4,3,0.25,196.31,0.00,N/A
172.65.245.164,4,3,0.25,196.32,0.00,N/A
104.16.226.208,4,3,0.25,196.36,0.00,N/A
104.16.104.182,4,3,0.25,196.38,0.00,N/A
104.19.245.212,4,3,0.25,196.40,0.00,N/A
104.17.190.235,4,3,0.25,196.55,0.00,N/A
104.16.230.80,4,3,0.25,196.62,0.00,N/A
104.17.224.168,4,3,0.25,196.74,0.00,N/A
104.16.196.26,4,3,0.25,196.75,0.00,N/A
104.17.187.250,4,3,0.25,196.86,0.00,N/A
104.19.21.237,4,3,0.25,196.90,0.00,N/A
104.17.16.113,4,3,0.25,196.96,0.00,N/A
104.19.246.45,4,3,0.25,197.06,0.00,N/A
104.24.80.13,4,3,0.25,197.07,0.00,N/A
104.19.244.27,4,3,0.25,197.10,0.00,N/A
104.16.78.193,4,3,0.25,197.18,0.00,N/A
162.159.19.243,4,3,0.25,197.21,0.00,N/A
104.19.20.198,4,3,0.25,197.24,0.00,N/A
104.20.2.3,4,3,0.25,197.34,0.00,N/A
104.18.163.32,4,3,0.25,197.37,0.00,N/A
162.159.38.14,4,3,0.25,197.43,0.00,N/A
104.18.115.28,4,3,0.25,197.44,0.00,N/A
104.16.84.114,4,3,0.25,197.46,0.00,N/A
198.41.223.235,4,3,0.25,197.46,0.00,N/A
172.65.189.227,4,3,0.25,197.52,0.00,N/A
104.24.55.17,4,3,0.25,197.54,0.00,N/A
104.16.74.68,4,3,0.25,197.69,0.00,N/A
104.18.150.219,4,3,0.25,197.81,0.00,N/A
104.17.171.189,4,3,0.25,197.88,0.00,N/A
104.16.73.153,4,3,0.25,197.96,0.00,N/A
104.17.169.249,4,3,0.25,198.05,0.00,N/A
104.24.68.208,4,3,0.25,198.09,0.00,N/A
104.16.94.149,4,3,0.25,198.10,0.00,N/A
104.16.87.8,4,3,0.25,198.21,0.00,N/A
104.16.77.175,4,3,0.25,198.23,0.00,N/A
104.16.238.148,4,3,0.25,198.30,0.00,N/A
162.159.50.0,4,3,0.25,198.31,0.00,N/A
104.16.146.70,4,3,0.25,198.32,0.00,N/A
104.16.43.60,4,3,0.25,198.35,0.00,N/A
104.16.9.116,4,3,0.25,198.38,0.00,N/A
104.16.101.194,4,3,0.25,198.42,0.00,N/A
104.19.47.222,4,3,0.25,198.47,0.00,N/A
104.16.86.167,4,3,0.25,198.50,0.00,N/A
104.27.127.93,4,3,0.25,198.52,0.00,N/A
104.16.41.216,4,3,0.25,198.53,0.00,N/A
104.17.221.213,4,3,0.25,198.63,0.00,N/A
104.16.38.74,4,3,0.25,198.66,0.00,N/A
104.17.195.127,4,3,0.25,198.86,0.00,N/A
104.24.142.53,4,3,0.25,198.94,0.00,N/A
104.16.192.189,4,3,0.25,198.98,0.00,N/A
104.16.158.211,4,3,0.25,198.98,0.00,N/A
104.27.103.42,4,3,0.25,199.05,0.00,N/A
198.41.193.111,4,3,0.25,199.07,0.00,N/A
104.16.247.122,4,3,0.25,199.11,0.00,N/A
104.17.210.100,4,3,0.25,199.12,0.00,N/A
104.24.218.223,4,3,0.25,199.16,0.00,N/A
104.16.114.195,4,3,0.25,199.17,0.00,N/A
172.65.95.130,4,3,0.25,199.22,0.00,N/A
104.20.5.222,4,3,0.25,199.23,0.00,N/A
104.20.43.139,4,3,0.25,199.25,0.00,N/A
104.18.40.17,4,3,0.25,199.29,0.00,N/A
104.17.183.14,4,3,0.25,199.29,0.00,N/A
104.17.193.162,4,3,0.25,199.31,0.00,N/A
172.64.52.245,4,3,0.25,199.32,0.00,N/A
162.159.199.35,4,3,0.25,199.44,0.00,N/A
104.25.66.4,4,3,0.25,199.44,0.00,N/A
104.18.180.122,4,3,0.25,199.46,0.00,N/A
104.17.211.108,4,3,0.25,199.52,0.00,N/A
